lat,lon,rr,tx,tn,rh
10.8137512,-0.580419,13.1174326,36.8238678,26.7009602,45.8060875
10.8137512,-0.530419,12.7416039,36.6885872,26.611372,46.3464394
10.8137512,-0.480419,12.0638609,36.5599632,26.5263557,46.8570786
10.8137512,-0.430419,11.2973051,36.4386406,26.4462357,47.3356285
10.8137512,-0.380419,10.421505,36.3248672,26.3711052,47.7813301
10.8137512,-0.330419,9.4494514,36.2186279,26.3008804,48.1945801
10.8137512,-0.280419,8.4311228,36.1332817,26.2421646,48.481411
10.8137512,-0.230419,7.4533262,36.0421066,26.1814976,48.8283195
10.8137512,-0.180419,6.6216936,35.9574699,26.1249733,49.1477966
10.8137512,-0.130419,6.025661,35.878933,26.0722809,49.4419136
10.8137512,-0.080419,5.7061734,35.8060303,26.0231075,49.7127724
10.763751,-2.880419,5.0546288,34.4949303,24.1761532,56.9230995
10.763751,-2.8304191,5.2245402,34.5035629,24.1650276,56.9275322
10.763751,-2.7804191,5.1005802,34.5142632,24.1583061,56.9175758
10.763751,-2.7304189,5.1486197,34.5275154,24.1568966,56.8901634
10.763751,-2.680419,5.3686829,34.5438728,24.1617355,56.8420029
10.763751,-2.630419,5.6753631,34.5639534,24.1737633,56.7696571
10.763751,-2.5804191,5.9277864,34.588398,24.1938858,56.6696472
10.763751,-2.5304191,6.0364652,34.6179047,24.2229462,56.5385551
10.763751,-2.4804189,6.0516438,34.6531677,24.2616692,56.3731384
10.763751,-2.430419,6.0997944,34.6948891,24.3106441,56.1704559
10.763751,-2.380419,6.2248192,34.7437286,24.3702774,55.9279709
10.763751,-2.3304191,6.3589778,34.7789879,24.4333229,55.6010132
10.763751,-2.2804191,6.4126358,34.8436356,24.5146427,55.2734528
10.763751,-2.2304189,6.3333998,34.917038,24.6066456,54.9016876
10.763751,-2.180419,5.7039847,34.9996033,24.7089672,54.4854584
10.763751,-2.130419,5.354743,35.0916405,24.8210773,54.0250549
10.763751,-2.0804191,4.9868097,35.1933594,24.9423141,53.5212593
10.763751,-2.0304191,4.6780338,35.3048553,25.0719128,52.9752846
10.763751,-1.980419,4.4965019,35.4261284,25.2090321,52.3887405
10.763751,-1.930419,4.4795189,35.557045,25.3527775,51.7635918
10.763751,-1.880419,4.6251931,35.6973495,25.5022106,51.1021805
10.763751,-1.8304191,6.3639026,35.8466377,25.6563492,50.4072952
10.763751,-1.780419,6.9136,36.0043106,25.8141499,49.6822853
10.763751,-1.730419,6.1576118,36.169548,25.9744835,48.9312782
10.763751,-1.680419,6.7325163,36.3412209,26.136095,48.15942
10.763751,-1.630419,7.2698574,36.5178375,26.2975464,47.3732338
10.763751,-1.5804191,7.7583799,36.6974564,26.4571686,46.5809631
10.763751,-1.530419,8.98347,36.8775787,26.6129932,45.7929611
10.763751,-1.480419,9.2613621,37.0551147,26.7627316,45.0219841
10.763751,-1.430419,9.5450745,37.2263222,26.9037457,44.2833138
10.763751,-1.380419,9.4475155,37.3868675,27.0331039,43.5946007
10.763751,-1.3304191,9.8782082,37.5319672,27.1476879,42.9752655
10.763751,-1.280419,10.3544226,37.6566429,27.2443848,42.4453964
10.763751,-1.230419,10.80268,37.7561302,27.3203564,42.0240974
10.763751,-1.180419,11.3284969,37.8263512,27.3733578,41.7275162
10.763751,-1.130419,12.0889959,37.8644218,27.40205,41.5667458
10.763751,-1.0804191,12.8279829,37.8690643,27.4062386,41.5461235
10.763751,-1.030419,11.9380341,37.8408546,27.3869705,41.6623535
10.763751,-0.980419,8.3320293,37.7807617,27.3460293,41.9130211
10.763751,-0.930419,5.8042698,37.6948662,27.2872047,42.2680702
10.763751,-0.880419,8.8186188,37.5871353,27.213913,42.7121201
10.763751,-0.830419,13.815299,37.4630165,27.1300488,43.2220268
10.763751,-0.780419,16.3667202,37.3278885,27.0393391,43.7750359
10.763751,-0.730419,16.2300186,37.1866722,26.9450912,44.3505287
10.763751,-0.680419,15.0900898,37.0435371,26.8500423,44.9310951
10.763751,-0.630419,13.9857464,36.9018059,26.7563114,45.5029869
10.763751,-0.580419,13.0947065,36.763958,26.6654339,46.0560608
10.763751,-0.530419,12.7427311,36.6317101,26.5784359,46.5833969
10.763751,-0.480419,12.0815096,36.5061493,26.4959297,47.0807648
10.763751,-0.430419,11.394928,36.3878593,26.4182129,47.5460358
10.763751,-0.380419,10.6581936,36.27705,26.3453465,47.978653
10.763751,-0.330419,9.8740883,36.1736679,26.2772388,48.3791733
10.763751,-0.280419,9.0723953,36.0910683,26.2204933,48.6536522
10.763751,-0.230419,8.3068771,36.0024529,26.1616192,48.9890747
10.763751,-0.180419,7.6435189,35.9202347,26.1067429,49.2976456
10.763751,-0.130419,7.1407723,35.8439713,26.0555592,49.5814629
10.763751,-0.080419,6.830904,35.7732086,26.0077629,49.8426361
10.7137508,-2.930419,5.0584645,34.4551811,24.127943,57.1212044
10.7137508,-2.880419,4.6752844,34.4596672,24.1079063,57.1545143
10.7137508,-2.8304191,4.3365431,34.4656219,24.091362,57.1767731
10.7137508,-2.7804191,4.1364555,34.4734993,24.0792637,57.184906
10.7137508,-2.7304189,4.425518,34.4838219,24.0726471,57.1755066
10.7137508,-2.680419,4.7841382,34.4971809,24.072588,57.1448975
10.7137508,-2.630419,5.338448,34.5142441,24.0801716,57.0892372
10.7137508,-2.5804191,5.7973037,34.535717,24.0964508,57.0046082
10.7137508,-2.5304191,5.95122,34.5623512,24.1224003,56.8871803
10.7137508,-2.4804189,5.9033384,34.5949097,24.1588593,56.7333412
10.7137508,-2.430419,5.9361658,34.6341438,24.2064896,56.5398674
10.7137508,-2.380419,6.1250424,34.6807709,24.2657394,56.3040466
10.7137508,-2.3304191,6.325407,34.7354393,24.3368149,56.0238037
10.7137508,-2.2804191,6.3931351,34.7783852,24.4125538,55.657402
10.7137508,-2.2304189,6.2595711,34.8503723,24.5067654,55.2847481
10.7137508,-2.180419,5.919795,34.931778,24.6119347,54.8657722
10.7137508,-2.130419,5.0206261,35.0228615,24.7273617,54.4012489
10.7137508,-2.0804191,4.4726472,35.1237564,24.8522034,53.8925323
10.7137508,-2.0304191,4.0106325,35.2344856,24.9855022,53.3414421
10.7137508,-1.980419,3.7413108,35.3549461,25.126236,52.7501907
10.7137508,-1.930419,3.7174222,35.4849205,25.2733402,52.1213226
10.7137508,-1.880419,3.9232113,35.6240578,25.4257336,51.4576874
10.7137508,-1.8304191,5.5478644,35.7718697,25.5823154,50.7625046
10.7137508,-1.780419,6.2232189,35.9276962,25.7419586,50.039444
10.7137508,-1.730419,6.8953943,36.0906639,25.9034824,49.2928162
10.7137508,-1.680419,6.2394061,36.2596283,26.0656166,48.5278168
